bloc,target_primary,n,pct
Gauche radicale,HAIM_KORSIA,1,0.03
Gauche radicale,HAMAS,80,2.23
Gauche radicale,HCR,1,0.03
Gauche radicale,HUMAN RIGHTS CRITICS,1,0.03
Gauche radicale,HUMANITAIRES,1,0.03
Gauche radicale,ICC,1,0.03
Gauche radicale,ICJ,1,0.03
Gauche radicale,INCONNU,2,0.06
Gauche radicale,INTERLOCUTOR,1,0.03
Gauche radicale,INTERNATIONALE,1,0.03
Gauche radicale,INTERNATIONAL_COMMUNITY,1,0.03
Gauche radicale,IRELAND,1,0.03
Gauche radicale,IRRESPONSABLES,1,0.03
Gauche radicale,ISABELLE_BALKANY,1,0.03
Gauche radicale,ISAISRAEL_GOV,1,0.03
Gauche radicale,ISRAEL,444,12.38
Gauche radicale,ISRAELIAN_JUDGE,1,0.03
Gauche radicale,ISRAELIAN_POLICE,1,0.03
Gauche radicale,ISRAELI_COLONISTS,1,0.03
Gauche radicale,ISRAELI_HOSTAGES,2,0.06
Gauche radicale,ISRAELI_LEADERS,1,0.03
Gauche radicale,ISRAELI_SOLDIERS,1,0.03
Gauche radicale,ISRAELI_SUPPORTERS,1,0.03
Gauche radicale,ISRAEL_AIR_FORCE,1,0.03
Gauche radicale,ISRAEL_ARMY,368,10.26
Gauche radicale,ISRAEL_AUTH,1,0.03
Gauche radicale,ISRAEL_COLON,1,0.03
Gauche radicale,ISRAEL_COLONISTS,4,0.11
Gauche radicale,ISRAEL_COMPANIES,1,0.03
Gauche radicale,ISRAEL_CRITICS,1,0.03
Gauche radicale,ISRAEL_EXTREME_RIGHT,1,0.03
Gauche radicale,ISRAEL_FG,1,0.03
Gauche radicale,ISRAEL_GOV,908,25.32
Gauche radicale,ISRAEL_IMMOBILIER,1,0.03
Gauche radicale,ISRAEL_LEADERS,1,0.03
Gauche radicale,ISRAEL_LOBBY,1,0.03
Gauche radicale,ISRAEL_MINISTER,1,0.03
Gauche radicale,ISRAEL_OFFICIALS,1,0.03
Gauche radicale,ISRAEL_REGIME,1,0.03
Gauche radicale,ISRAEL_RIGHT,1,0.03
Gauche radicale,ISRAEL_SUPPORTERS,3,0.08
Gauche radicale,ISRAÉLIENS,1,0.03
Gauche radicale,ISRAËL,15,0.42
Gauche radicale,ISRAËLIENS_MILITANTS,1,0.03
Gauche radicale,ISRAËL_ARMÉE,1,0.03
Gauche radicale,ISRAËL_GOV,1,0.03
Gauche radicale,JAKUBOWICZ,1,0.03
Gauche radicale,JEROME_GUEDJ,1,0.03
Gauche radicale,JLMELENCHON,5,0.14
Gauche radicale,JN_BARROT,5,0.14
Gauche radicale,JOANNSFAR,1,0.03
Gauche radicale,JOE BIDEN,1,0.03
Gauche radicale,JORDAN_BARDELLA,2,0.06
Gauche radicale,JULIEN_ODoul,1,0.03
Gauche radicale,KHAMENEI,1,0.03
Gauche radicale,KhanNRachel,1,0.03
Gauche radicale,LA_FRANCE_INSOUMISE,1,0.03
Gauche radicale,LEMONDE,1,0.03
Gauche radicale,LES_REPUBLICAINS,1,0.03
Gauche radicale,LE_PEN,3,0.08
Gauche radicale,LIBERATION,2,0.06
Gauche radicale,LICRA,1,0.03
Gauche radicale,LIKOUD,1,0.03
Gauche radicale,LIKUD,1,0.03
Gauche radicale,MACRON,74,2.06
Gauche radicale,MACRONIE,5,0.14
Gauche radicale,MACRONISTES,5,0.14
Gauche radicale,MACRONISTES_RN,1,0.03
Gauche radicale,MACRON_GOV,1,0.03
Gauche radicale,MADAME_HAYER,1,0.03
Gauche radicale,MAIRE_DE_MONTPELLIER,1,0.03
Gauche radicale,MAIRE_ROUBAIX,1,0.03
Gauche radicale,MARINE_LE_PEN,3,0.08
Gauche radicale,MARINE_TONDELIER,1,0.03
Gauche radicale,MARINE_VLAHOVIC,1,0.03
Gauche radicale,MATHIEU_LEFEVRE,1,0.03
Gauche radicale,MEDIA,6,0.17
Gauche radicale,MEDIAS_FR,1,0.03
Gauche radicale,MEDIA_FRANCAIS,2,0.06
Gauche radicale,MEYER_HABIB,8,0.22
Gauche radicale,MILICES_FASCISTES,1,0.03
Gauche radicale,MILITANTE_PRO_NETANYAHOU,1,0.03
Gauche radicale,MINISTERE_INTERIEUR,1,0.03
Gauche radicale,MINISTERS,1,0.03
Gauche radicale,MINISTRE,1,0.03
Gauche radicale,MINISTRE_BERGE,1,0.03
Gauche radicale,MINISTRE_DES_AFFAIRS_ETRANGERES,1,0.03
Gauche radicale,MINISTRE_INTERN,1,0.03
Gauche radicale,MINISTRE_ISRAELIEN,1,0.03
Gauche radicale,MOSSAD,1,0.03
Gauche radicale,MOUDENC,2,0.06
Gauche radicale,Mairie de Choisy-le-Roi,1,0.03
Gauche radicale,NADINE_MORANO,1,0.03
Gauche radicale,NATHALIE_LOISEAU,1,0.03
Gauche radicale,NATIONAL_RALLY,1,0.03
Gauche radicale,NETANYAHOU,156,4.35
Gauche radicale,NETANYAHU,240,6.69
Gauche radicale,NETANYAHU_GOV,1,0.03
Gauche radicale,NILI KUPFER-NAOURI,1,0.03
Gauche radicale,NILI_KUPFER-NAOURI,1,0.03
Gauche radicale,NILI_KUPFER_NAOURI,1,0.03
Gauche radicale,NORVEGE,1,0.03
Gauche radicale,OCCIDENT,3,0.08
Gauche radicale,OLIVIER_FAURE,1,0.03
Gauche radicale,OLIVIER_RAFOWICZ,1,0.03
Gauche radicale,ONU,6,0.17
Gauche radicale,ORPI,1,0.03
Gauche radicale,Olivennes,1,0.03
Gauche radicale,P.É. STÉRIN,1,0.03
Gauche radicale,PACIFIC,1,0.03
Gauche radicale,PALESTINE,17,0.47
Gauche radicale,PALESTINIANS,15,0.42
Gauche radicale,PALESTINIAN_AUTHORITY,2,0.06
Gauche radicale,PALESTINIAN_CIVILIANS,1,0.03
Gauche radicale,PALESTINIAN_POPULATION,1,0.03
Gauche radicale,PALESTINIAN_VICTIMS,1,0.03
Gauche radicale,PALESTINIENS,5,0.14
Gauche radicale,PARTISOCIALISTE,1,0.03
Gauche radicale,PARTI_DE_ZEMMOUR,1,0.03
Gauche radicale,PARTI_POLITIQUE,1,0.03
Gauche radicale,PARTI_SOCIALISTE,3,0.08
Gauche radicale,PERSONNALITÉ MÉDIATIQUE,1,0.03
Gauche radicale,PEUPLE_PALESTINIEN,20,0.56
Gauche radicale,PHILIPPE_ROSE_BRUN,1,0.03
Gauche radicale,PHILIPPE_VAL,1,0.03
Gauche radicale,PIERRE_FABRE_GROUP,1,0.03
Gauche radicale,PLENEL,1,0.03
Gauche radicale,POLICE,1,0.03
Gauche radicale,POLITICAL_OPPONENTS,1,0.03
Gauche radicale,POLITICIANS_MEDIA,1,0.03
Gauche radicale,POLITIQUES_ANTISEMITES,1,0.03
Gauche radicale,POPE_FRANCOIS,1,0.03
Gauche radicale,POPULATION_GAZA,1,0.03
Gauche radicale,POPULATION_PALESTINIENNE,1,0.03
Gauche radicale,POUVOIR_VATICAN,1,0.03
Gauche radicale,PRESIDENT,1,0.03
Gauche radicale,PRIME_MINISTER,2,0.06
Gauche radicale,PRISCA_THEVENOT,1,0.03
Gauche radicale,PRO-ISR_PARTY,1,0.03
Gauche radicale,PROPAGANDISTE,1,0.03
Gauche radicale,PROPOSITION_DE_LOI,1,0.03
Gauche radicale,PRO_ISRAELI_TWITTER,1,0.03
Gauche radicale,PS,6,0.17
Gauche radicale,RASSEMBLEMENT_NATIONAL,4,0.11
Gauche radicale,RESPONSABLES_POLITIQUES,1,0.03
Gauche radicale,RETAILLEAU,4,0.11
Gauche radicale,RETailleau,1,0.03
Gauche radicale,RICHARD_RAMOS,1,0.03
Gauche radicale,RIMA_HAS,1,0.03
Gauche radicale,RIMA_HASSAN,2,0.06
Gauche radicale,RMC,1,0.03
Gauche radicale,RN,8,0.22
Gauche radicale,ROBERTO_CIURLEO,1,0.03
Gauche radicale,RaphaAssouline,1,0.03
Gauche radicale,Rassemblement National,2,0.06
Gauche radicale,SARKOZY,1,0.03
Gauche radicale,SCIENCES_PO,1,0.03
Gauche radicale,SC_PO_STUDENTS,1,0.03
Gauche radicale,SEBASTIEN_DELOGU,1,0.03
Gauche radicale,SEJOURNE,1,0.03
Gauche radicale,SENAT,1,0.03
Gauche radicale,SIONISME,1,0.03
Gauche radicale,SOCIALIST_PARTY,1,0.03
Gauche radicale,SOCIETE_FRANCAISE,1,0.03
Gauche radicale,SOC_COMM,1,0.03
Gauche radicale,SOUTIENS_GENOCIDE,1,0.03
Gauche radicale,SPR,1,0.03
Gauche radicale,STEPH_SEJOURNE,1,0.03
Gauche radicale,SUPPORTERS_CLEANSING,1,0.03
Gauche radicale,SUPPORTERS_GENOCIDE,1,0.03
Gauche radicale,SUPPORTERS_ISRAEL,1,0.03
Gauche radicale,SUPPORTERS_OF_GENOCIDE,1,0.03
Gauche radicale,SÉBASTIEN_DELOGU,1,0.03
Gauche radicale,TAPIRO,1,0.03
Gauche radicale,TERRORISM,1,0.03
Gauche radicale,TF1,1,0.03
Gauche radicale,TRUMP,19,0.53
Gauche radicale,TRUMP_NETANYAHOU_POUTINE,1,0.03
Gauche radicale,TSAHAL,3,0.08
Gauche radicale,TURQUOIS_NICOLAS,1,0.03
Gauche radicale,UE,1,0.03
Gauche radicale,UN,2,0.06
Gauche radicale,UNKNOWN,1,0.03
Gauche radicale,UNRWA,2,0.06
Gauche radicale,URG_PAL,1,0.03
Gauche radicale,USA,7,0.2
Gauche radicale,USAmbUN,1,0.03
Gauche radicale,VALERIE_DETRESSE,1,0.03
Gauche radicale,VILLAIN,1,0.03
Gauche radicale,WAUQUIEZ,1,0.03
Gauche radicale,WESTERN_COUNTRIES,1,0.03
Gauche radicale,YADAN,1,0.03
Gauche radicale,YAEL_BRAUNPIVET,1,0.03
Gauche radicale,YAEL_BRAUN_PIVET,9,0.25
Gauche radicale,YAËL_BRAUN_PIVET,1,0.03
Gauche radicale,YAËL BRAUN-PIVET,1,0.03
Gauche radicale,YVAN_ATTAL,2,0.06
Gauche radicale,Yael_BRAUNPIVET,1,0.03
Gauche radicale,franceinfo,1,0.03
Gauche radicale,fxbellamy,1,0.03
Gauche radicale,i24NEWS_FR,2,0.06
Gauche radicale,international_alliance,1,0.03
Gauche radicale,nous_vivrons,1,0.03
Gauche radicale,odieux personnage,1,0.03
Gauche radicale,É. BORNE,1,0.03
Gauche radicale,ÉTAT_DE_PALESTINE,1,0.03
Gauche radicale,ÉTAT_FRANCAIS,1,0.03
